CURP,CCT,LATITUD,LONGITUD,HORAS_SEMANA
KKTQ470820MGTDAN40,Escuela Primaria Valentín Gómez Farías,19.375580912937988,-99.18597861652627,35
KKTQ470820MGTDAN40,Escuela Primaria Enrique de Olavarría y Ferrari,19.375823821532315,-99.1882102143251,35
VNQH790723MCHTPN78,Enrique de Olavarría,19.37602264,-99.18815911,8
VNQH790723MCHTPN78,Enrique de Olavarría,19.37602264,-99.18815911,10
VNQH790723MCHTPN78,Enrique de Olavarría,19.37602264,-99.18815911,5
GMIC250706MBSFLH83,Prof. Fernando Brom Rojas,19.320508892868393,-99.12345332328093,19
GMIC250706MBSFLH83,Escuela Primaria José Martí,25.777517942444586,-100.37277963560834,19
GMIC250706MBSFLH83,Andres Osuna,19.48023234210187,-99.10384515787159,1
USWT180526MASGGB65,Julio Dibella Barragán,19.40204735920298,-99.13017869803508,10
USWT180526MASGGB65,España,19.43067391439801,-99.13205088678795,10
EZGD960522HTLDNQ24,Juana Pavón de Morelos,19.36230082093175,-99.11435070870378,8
EZGD960522HTLDNQ24,Bandera Nacional,19.360486919645076,-99.11856809827552,8
EZGD960522HTLDNQ24,Profr. Antonio Barbosa Heldt,19.37043387239961,-99.1301038992905,8
EZGD960522HTLDNQ24,Carlos A. Carrillo,19.369263674186797,-99.14238394473895,8
XGDJ981120HBCQAY97,Venustiano Carranza,19.384511592461262,-99.23206230802282,8
XGDJ981120HBCQAY97,Candelario Huizar García,19.383494019808357,-99.23680867367143,8
XGDJ981120HBCQAY97,ROMERO FLORES,19.38437591641266,-99.23835483810444,8
XGDJ981120HBCQAY97,31 y 32 Vasco de Quiroga,19.38339226220053,-99.23936164285153,8
