CURP,CCT,LATITUD,LONGITUD,HORAS_SEMANA,TOTAL_HORAS_SEMANA
EZGD960522HTLDNQ24,Juana Pavón de Morelos,19.36230082093175,-99.11435070870378,8,32
EZGD960522HTLDNQ24,Bandera Nacional,19.36048691964508,-99.11856809827552,8,32
EZGD960522HTLDNQ24,Profr. Antonio Barbosa Heldt,19.37043387239961,-99.1301038992905,8,32
EZGD960522HTLDNQ24,Carlos A. Carrillo,19.3692636741868,-99.14238394473897,8,32
GMIC250706MBSFLH83,Prof. Fernando Brom Rojas,19.3205088928684,-99.12345332328093,19,39
GMIC250706MBSFLH83,Escuela Primaria José Martí,25.777517942444582,-100.37277963560834,19,39
GMIC250706MBSFLH83,Andres Osuna,19.48023234210187,-99.1038451578716,1,39
USWT180526MASGGB65,Julio Dibella Barragán,19.40204735920298,-99.13017869803508,10,20
USWT180526MASGGB65,España,19.43067391439801,-99.13205088678797,10,20
XGDJ981120HBCQAY97,Venustiano Carranza,19.384511592461266,-99.23206230802282,8,32
XGDJ981120HBCQAY97,Candelario Huizar García,19.38349401980836,-99.23680867367143,8,32
XGDJ981120HBCQAY97,ROMERO FLORES,19.38437591641266,-99.23835483810444,8,32
XGDJ981120HBCQAY97,31 y 32 Vasco de Quiroga,19.38339226220053,-99.23936164285152,8,32
